"filename", "language", "HTML", "JavaScript", "PostCSS", "JSON", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\logy\Desktop\CARDEXDEMO\animateCards.js", "JavaScript", 0, 18, 0, 0, 0, 4, 3, 25
"c:\Users\logy\Desktop\CARDEXDEMO\carData.js", "JavaScript", 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\logy\Desktop\CARDEXDEMO\disableDrag.js", "JavaScript", 0, 14, 0, 0, 0, 7, 3, 24
"c:\Users\logy\Desktop\CARDEXDEMO\getTrophyImage.js", "JavaScript", 0, 11, 0, 0, 0, 8, 3, 22
"c:\Users\logy\Desktop\CARDEXDEMO\index.html", "HTML", 94, 0, 0, 0, 0, 49, 4, 147
"c:\Users\logy\Desktop\CARDEXDEMO\libs\gridjs\gridjs.umd.js", "JavaScript", 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\logy\Desktop\CARDEXDEMO\libs\gridjs\mermaid.min.css", "PostCSS", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\logy\Desktop\CARDEXDEMO\libs\sqljs\sql-wasm.js", "JavaScript", 0, 52, 0, 0, 0, 125, 12, 189
"c:\Users\logy\Desktop\CARDEXDEMO\libs\sqljs\sql-wasm.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 14676, 0, 171, 14847
"c:\Users\logy\Desktop\CARDEXDEMO\mappings.js", "JavaScript", 0, 62, 0, 0, 0, 0, 4, 66
"c:\Users\logy\Desktop\CARDEXDEMO\paginationControls.js", "JavaScript", 0, 26, 0, 0, 0, 7, 6, 39
"c:\Users\logy\Desktop\CARDEXDEMO\progressBar.js", "JavaScript", 0, 6, 0, 0, 0, 7, 1, 14
"c:\Users\logy\Desktop\CARDEXDEMO\script.js", "JavaScript", 0, 314, 0, 0, 0, 19, 45, 378
"c:\Users\logy\Desktop\CARDEXDEMO\style.css", "PostCSS", 0, 0, 332, 0, 0, 37, 4, 373
"c:\Users\logy\Desktop\CARDEXDEMO\test.json", "JSON", 0, 0, 0, 286, 0, 0, 1, 287
"Total", "-", 94, 527, 333, 286, 14676, 264, 260, 16440
